iter	MAPE	Quantile:alpha=0.5
850	0.0880073616	0.08652936239
851	0.08796189707	0.0864858686
852	0.08790800532	0.0864384507
853	0.0878685609	0.08640087107
854	0.0877579206	0.08629531654
855	0.08772787746	0.0862530746
856	0.08755611044	0.08611676859
857	0.08753069398	0.08608992037
858	0.08745845511	0.08599631967
859	0.0873256954	0.08588738993
860	0.08730439129	0.08585543613
861	0.08728465681	0.08581853801
862	0.08721129375	0.08573662925
863	0.08718401768	0.08569670046
864	0.08716756258	0.08566419396
865	0.08706196856	0.08555984529
866	0.08700423887	0.08550007045
867	0.08690665526	0.08543390042
868	0.08681132757	0.08535866828
869	0.08677400517	0.08532380635
870	0.08672506891	0.08526696776
871	0.08659128277	0.08514844676
872	0.08656389996	0.08511646001
